107,587
213,157
598,539
180,353
229,128
441,511
294,326
383,136
106,466
302,299
493,573
486,114
417,257
287,481
399,428
544,550
402,103
485,124
295,181
441,258
242,429
105,405
573,517
312,113
470,354
250,446
138,480
583,471
239,491
328,300
308,521
163,279
496,392
249,288
572,555
164,303
295,523
518,226
202,512
300,195
510,405
575,293
174,485
249,445
582,500
308,410
462,161
129,539
430,150
154,475
135,284
201,182
119,574
271,379
156,186
411,240
374,174
591,372
409,256
394,159
366,283
560,362
414,224
386,159
226,463
220,275
130,424
160,172
129,335
324,384
112,144
557,183
459,325
158,188
510,316
395,424
295,265
353,111
494,451
369,474
235,541
545,200
571,365
567,508
486,485
289,183
471,486
197,579
578,269
197,414
474,186
528,413
400,335
180,552
130,227
450,428
294,137
311,184
443,117
435,481
571,151
460,490
524,374
275,469
233,445
201,291
279,113
103,575
157,263
281,205
452,373
526,158
162,510
144,323
270,274
192,496
224,405
533,130
268,193
600,161
580,123
225,395
226,565
445,315
121,300
123,538
550,550
319,298
576,200
146,519
283,374
566,334
254,524
523,473
538,503
413,134
400,192
121,551
232,444
474,374
560,482
261,446
290,350
240,286
503,270
541,172
520,139
397,356
591,498
410,346
299,185
426,575
545,485
175,341
450,246
197,434
445,501
262,462
305,377
268,212
105,181
253,349
403,247
289,380
421,583
273,224
562,229
348,600
140,541
515,564
598,287
219,540
389,562
567,274
396,390
486,273
112,273
365,363
479,599
177,466
402,114
466,508
247,379
373,131
196,462
460,585
434,511
328,130
366,478
109,503
563,336
557,152
538,143
405,238
203,178
517,529
514,523
471,434
161,364
480,417
146,451
106,457
491,407
447,360
534,405
473,280
100,481
382,429
583,589
284,421
544,136
414,348
490,362
572,573
236,518
492,220
439,369
440,129
573,132
164,554
179,398
361,497
383,521
250,590
332,418
436,154
149,460
368,194
292,299
518,547
115,265
564,543
144,226
346,141
360,375
481,419
328,493
507,268
117,327
454,244
232,224
122,129
319,446
120,348
525,177
143,407
525,379
404,536
465,233
491,456
384,404
484,154
396,185
257,182
300,103
460,571
316,206
563,594
579,462
370,165
127,284
270,216
545,405
496,211
143,352
238,216
429,198
230,257
528,444
186,131
574,469
477,266
576,460
462,537
298,428
179,106
344,176
273,493
480,356
132,107
269,130
342,540
380,459
286,530
164,585
108,489
388,420
210,379
492,233
374,154
363,295
424,234
571,580
329,363
473,329
410,301
443,216
425,188
324,394
193,163
123,599
388,507
508,317
347,436
300,371
237,207
545,384
135,405
220,254
138,292
247,240
432,378
412,295
141,332
389,170
123,490
345,129
581,474
393,472
545,102
261,303
446,234
288,558
406,397
343,323
589,381
518,208
444,351
593,438
394,328
432,237
589,331
516,504
146,564
498,588
231,471
578,117
173,251
436,425
309,472
574,119
398,543
390,267
570,293
454,273
258,595
480,436
173,146
476,274
535,324
181,150
554,407
260,164
504,129
503,576
344,219
400,334
466,547
294,247
108,515
288,438
570,472
254,498
149,195
540,151
558,251
213,221
576,510
270,486
145,299
438,234
557,242
262,219
176,289
272,494
413,329
455,246
256,594
313,516
140,302
501,323
274,192
253,312
155,256
432,588
518,477
422,462
297,444
432,352
317,216
287,589
212,544
417,581
433,254
598,294
338,416
298,261
168,102
581,439
214,277
428,507
201,199
511,495
490,187
521,335
273,500
223,584
463,290
317,165
425,582
320,209
119,286
455,374
315,184
486,595
525,488
129,454
277,244
406,425
388,242
486,447
183,316
595,519
557,587
515,438
208,514
224,513
524,409
267,351
400,395
170,126
410,571
111,219
113,237
357,280
105,272
407,207
324,394
151,207
467,224
525,538
255,513
130,382
561,368
566,537
599,396
222,335
223,394
446,348
208,486
510,471
420,385
585,583
120,489
341,210
247,339
170,278
522,431
238,304
191,175
183,450
254,495
355,248
