x,y,c
213,157,19
598,539,19
180,353,19
229,128,19
441,511,19
294,326,19
383,136,19
106,466,19
302,299,19
493,573,19
486,114,19
417,257,19
287,481,19
399,428,19
544,550,19
402,103,19
485,124,19
295,181,19
441,258,19
242,429,19
105,405,19
573,517,19
312,113,19
470,354,19
250,446,19
138,480,19
583,471,19
239,491,19
328,300,19
308,521,19
163,279,19
496,392,19
249,288,19
572,555,19
164,303,19
295,523,19
518,226,19
202,512,19
300,195,19
510,405,19
575,293,19
174,485,19
249,445,19
582,500,19
308,410,19
462,161,19
129,539,19
430,150,19
154,475,19
135,284,19
201,182,19
119,574,19
271,379,19
156,186,19
411,240,19
374,174,19
591,372,19
409,256,19
394,159,19
366,283,19
560,362,19
414,224,19
386,159,19
226,463,19
220,275,19
130,424,19
160,172,19
129,335,19
324,384,19
112,144,19
557,183,19
459,325,19
158,188,19
510,316,19
395,424,19
295,265,19
353,111,19
494,451,19
369,474,19
235,541,19
545,200,19
571,365,19
567,508,19
486,485,19
289,183,19
471,486,19
197,579,19
578,269,19
197,414,19
474,186,19
528,413,19
400,335,19
180,552,19
130,227,19
450,428,19
294,137,19
311,184,19
443,117,19
435,481,19
571,151,19
460,490,19
524,374,19
275,469,19
233,445,19
201,291,19
279,113,19
103,575,19
157,263,19
281,205,19
452,373,19
526,158,19
162,510,19
144,323,19
270,274,19
192,496,19
224,405,19
533,130,19
268,193,19
600,161,19
580,123,19
225,395,19
226,565,19
445,315,19
121,300,19
123,538,19
550,550,19
319,298,19
576,200,19
146,519,19
283,374,19
566,334,19
254,524,19
523,473,19
538,503,19
413,134,19
400,192,19
121,551,19
232,444,19
474,374,19
560,482,19
261,446,19
290,350,19
240,286,19
503,270,19
541,172,19
520,139,19
397,356,19
591,498,19
410,346,19
299,185,19
426,575,19
545,485,19
175,341,19
450,246,19
197,434,19
445,501,19
262,462,19
305,377,19
268,212,19
105,181,19
253,349,19
403,247,19
289,380,19
421,583,19
273,224,19
562,229,19
348,600,19
140,541,19
515,564,19
598,287,19
219,540,19
389,562,19
567,274,19
396,390,19
486,273,19
112,273,19
365,363,19
479,599,19
177,466,19
402,114,19
466,508,19
247,379,19
373,131,19
196,462,19
460,585,19
434,511,19
328,130,19
366,478,19
109,503,19
563,336,19
557,152,19
538,143,19
405,238,19
203,178,19
517,529,19
514,523,19
471,434,19
161,364,19
480,417,19
146,451,19
106,457,19
491,407,19
447,360,19
534,405,19
473,280,19
100,481,19
382,429,19
583,589,19
284,421,19
544,136,19
414,348,19
490,362,19
572,573,19
236,518,19
492,220,19
439,369,19
440,129,19
573,132,19
164,554,19
179,398,19
361,497,19
383,521,19
250,590,19
332,418,19
436,154,19
149,460,19
368,194,19
292,299,19
518,547,19
115,265,19
564,543,19
144,226,19
346,141,19
360,375,19
481,419,19
328,493,19
507,268,19
117,327,19
454,244,19
232,224,19
122,129,19
319,446,19
120,348,19
525,177,19
143,407,19
525,379,19
404,536,19
465,233,19
491,456,19
384,404,19
484,154,19
396,185,19
257,182,19
300,103,19
460,571,19
316,206,19
563,594,19
579,462,19
370,165,19
127,284,19
270,216,19
545,405,19
496,211,19
143,352,19
238,216,19
429,198,19
230,257,19
528,444,19
186,131,19
574,469,19
477,266,19
576,460,19
462,537,19
298,428,19
179,106,19
344,176,19
273,493,19
480,356,19
132,107,19
269,130,19
342,540,19
380,459,19
286,530,19
164,585,19
108,489,19
388,420,19
210,379,19
492,233,19
374,154,19
363,295,19
424,234,19
571,580,19
329,363,19
473,329,19
410,301,19
443,216,19
425,188,19
324,394,19
193,163,19
123,599,19
388,507,19
508,317,19
347,436,19
300,371,19
237,207,19
545,384,19
135,405,19
220,254,19
138,292,19
247,240,19
432,378,19
412,295,19
141,332,19
389,170,19
123,490,19
345,129,19
581,474,19
393,472,19
545,102,19
261,303,19
446,234,19
288,558,19
406,397,19
343,323,19
589,381,19
518,208,19
444,351,19
593,438,19
394,328,19
432,237,19
589,331,19
516,504,19
146,564,19
498,588,19
231,471,19
578,117,19
173,251,19
436,425,19
309,472,19
574,119,19
398,543,19
390,267,19
570,293,19
454,273,19
258,595,19
480,436,19
173,146,19
476,274,19
535,324,19
181,150,19
554,407,19
260,164,19
504,129,19
503,576,19
344,219,19
400,334,19
466,547,19
294,247,19
108,515,19
288,438,19
570,472,19
254,498,19
149,195,19
540,151,19
558,251,19
213,221,19
576,510,19
270,486,19
145,299,19
438,234,19
557,242,19
262,219,19
176,289,19
272,494,19
413,329,19
455,246,19
256,594,19
313,516,19
140,302,19
501,323,19
274,192,19
253,312,19
155,256,19
432,588,19
518,477,19
422,462,19
297,444,19
432,352,19
317,216,19
287,589,19
212,544,19
417,581,19
433,254,19
598,294,19
338,416,19
298,261,19
168,102,19
581,439,19
214,277,19
428,507,19
201,199,19
511,495,19
490,187,19
521,335,19
273,500,19
223,584,19
463,290,19
317,165,19
425,582,19
320,209,19
119,286,19
455,374,19
315,184,19
486,595,19
525,488,19
129,454,19
277,244,19
406,425,19
388,242,19
486,447,19
183,316,19
595,519,19
557,587,19
515,438,19
208,514,19
224,513,19
524,409,19
267,351,19
400,395,19
170,126,19
410,571,19
111,219,19
113,237,19
357,280,19
105,272,19
407,207,19
324,394,19
151,207,19
467,224,19
525,538,19
255,513,19
130,382,19
561,368,19
566,537,19
599,396,19
222,335,19
223,394,19
446,348,19
208,486,19
510,471,19
420,385,19
585,583,19
120,489,19
341,210,19
247,339,19
170,278,19
522,431,19
238,304,19
191,175,19
183,450,19
254,495,19
355,248,19
438,508,19
378,299,19
359,497,19
466,304,19
155,239,19
392,546,19
511,512,19
436,521,19
587,364,19
413,171,19
396,508,19
563,364,19
243,535,19
320,230,19
458,541,19
150,137,19
387,446,19
442,484,19
596,304,19
286,430,19
386,105,19
348,205,19
457,507,19
365,398,19
441,529,19
348,343,19
286,218,19
344,129,19
370,117,19
449,305,19
426,437,19
421,508,19
139,387,19
433,118,19
335,326,19
221,492,19
389,237,19
285,357,19
293,360,19
340,379,19
347,179,19
235,470,19
148,270,19
156,191,19
473,157,19
595,534,19
108,595,19
476,222,19
455,590,19
513,561,19
117,173,19
137,510,19
247,488,19
302,557,19
528,149,19
219,574,19
403,562,19
511,528,19
107,144,19
576,222,19
398,600,19
286,460,19
189,308,19
470,519,19
547,457,19
297,304,19
439,415,19
536,333,19
455,387,19
369,205,19
178,294,19
482,174,19
477,173,19
132,471,19
337,272,19
307,161,19
408,423,19
155,481,19
388,516,19
328,451,19
518,550,19
226,209,19
561,267,19
467,274,19
409,464,19
403,190,19
505,232,19
345,262,19
260,386,19
195,155,19
531,398,19
202,257,19
360,409,19
480,384,19
423,167,19
244,150,19
393,488,19
366,544,19
246,348,19
448,454,19
514,393,19
529,598,19
310,200,19
224,517,19
474,487,19
555,200,19
497,344,19
368,281,19
517,191,19
165,121,19
121,493,19
286,160,19
349,303,19
191,588,19
432,446,19
490,152,19
426,491,19
129,398,19
225,411,19
396,391,19
444,536,19
425,256,19
535,170,19
314,140,19
362,392,19
584,208,19
214,257,19
363,207,19
440,511,19
579,260,19
451,412,19
184,446,19
204,187,19
210,572,19
344,107,19
237,323,19
110,335,19
199,297,19
109,193,19
571,174,19
481,592,19
141,386,19
304,442,19
505,261,19
141,240,19
238,247,19
262,479,19
297,178,19
341,128,19
557,261,19
454,104,19
345,386,19
104,489,19
446,355,19
448,144,19
287,274,19
540,242,19
548,401,19
463,454,19
204,455,19
373,218,19
168,516,19
395,328,19
432,117,19
600,547,19
214,323,19
353,457,19
364,383,19
376,190,19
580,120,19
119,197,19
127,126,19
349,209,19
575,575,19
113,123,19
466,488,19
590,315,19
566,331,19
282,310,19
228,223,19
308,529,19
269,529,19
560,425,19
362,598,19
550,515,19
506,188,19
271,145,19
509,463,19
583,251,19
304,264,19
267,529,19
375,324,19
470,375,19
425,342,19
598,506,19
287,269,19
442,393,19
592,258,19
518,292,19
224,340,19
242,313,19
177,174,19
131,565,19
284,372,19
391,383,19
439,102,19
552,422,19
378,520,19
502,325,19
548,579,19
415,345,19
357,395,19
114,199,19
195,393,19
137,416,19
497,144,19
346,294,19
541,355,19
172,175,19
276,290,19
445,286,19
311,348,19
277,420,19
115,362,19
252,192,19
281,353,19
328,251,19
203,295,19
245,202,19
112,537,19
299,561,19
552,203,19
594,275,19
137,111,19
221,324,19
548,192,19
473,231,19
252,197,19
550,247,19
290,531,19
289,326,19
566,186,19
128,322,19
496,368,19
114,513,19
390,587,19
136,574,19
432,121,19
160,125,19
380,154,19
478,373,19
236,497,19
436,473,19
246,283,19
470,549,19
214,275,19
160,440,19
541,164,19
573,208,19
600,181,19
404,551,19
470,586,19
397,511,19
441,247,19
205,145,19
190,162,19
137,136,19
410,213,19
573,188,19
229,526,19
571,157,19
503,107,19
547,383,19
411,194,19
440,249,19
267,239,19
412,541,19
107,579,19
401,303,19
457,150,19
524,581,19
504,343,19
525,439,19
546,103,19
318,326,19
599,399,19
346,202,19
565,234,19
555,458,19
503,173,19
234,427,19
237,202,19
434,178,19
170,162,19
102,568,19
423,377,19
395,544,19
245,380,19
318,201,19
404,237,19
303,119,19
394,143,19
309,378,19
410,452,19
421,566,19
261,225,19
574,377,19
380,583,19
292,333,19
561,516,19
176,233,19
243,310,19
521,181,19
424,397,19
365,391,19
440,132,19
203,410,19
451,273,19
172,315,19
504,170,19
155,225,19
361,372,19
120,461,19
569,418,19
449,299,19
290,362,19
108,512,19
307,108,19
589,597,19
575,341,19
389,103,19
505,353,19
236,172,19
392,400,19
341,294,19
291,527,19
410,130,19
230,265,19
360,265,19
452,335,19
275,567,19
286,527,19
284,475,19
501,557,19
499,375,19
253,259,19
222,321,19
435,109,19
204,136,19
242,172,19
296,443,19
492,390,19
311,210,19
134,504,19
196,277,19
428,532,19
187,577,19
481,176,19
351,489,19
584,541,19
341,121,19
578,173,19
505,332,19
474,308,19
429,556,19
145,397,19
321,551,19
499,239,19
191,169,19
352,504,19
474,347,19
160,490,19
515,561,19
464,431,19
158,558,19
391,229,19
204,202,19
429,302,19
318,379,19
279,193,19
127,237,19
221,280,19
585,375,19
512,362,19
330,405,19
281,245,19
357,282,19
190,218,19
437,558,19
472,456,19
557,215,19
100,577,19
475,155,19
458,461,19
327,418,19
302,138,19
233,104,19
245,449,19
246,246,19
364,238,19
428,285,19
282,256,19
104,553,19
246,126,19
177,570,19
205,598,19
220,230,19
220,294,19
262,190,19
188,440,19
352,245,19
213,538,19
355,206,19
431,297,19
351,217,19
106,268,19
389,478,19
454,453,19
316,176,19
130,131,19
208,286,19
483,233,19
574,580,19
391,179,19
592,191,19
503,465,19
268,545,19
201,557,19
459,341,19
186,407,19
320,110,19
271,509,19
178,327,19
306,474,19
231,579,19
318,177,19
494,326,19
187,153,19
148,566,19
592,169,19
540,492,19
164,542,19
251,470,19
470,363,19
264,598,19
542,590,19
433,424,19
361,548,19
297,107,19
408,559,19
534,149,19
557,220,19
378,566,19
409,242,19
375,383,19
580,523,19
379,433,19
519,198,19
588,545,19
233,511,19
595,403,19
189,464,19
327,553,19
348,373,19
538,456,19
276,511,19
109,242,19
395,389,19
433,522,19
592,319,19
279,527,19
394,331,19
190,112,19
549,559,19
475,269,19
275,107,19
167,158,19
425,103,19
225,519,19
581,417,19
280,475,19
108,230,19
361,536,19
172,239,19
392,463,19
420,545,19
502,228,19
262,188,19
588,597,19
364,372,19
569,140,19
267,559,19
115,181,19
430,331,19
320,229,19
495,229,19
415,426,19
570,538,19
515,182,19
301,563,19
119,449,19
140,107,19
553,447,19
580,141,19
126,596,19
190,105,19
360,561,19
408,427,19
328,115,19
377,329,19
533,258,19
350,376,19
491,328,19
368,128,19
200,254,19
279,254,19
465,241,19
251,183,19
435,184,19
583,219,19
346,360,19
414,261,19
231,157,19
274,139,19
546,197,19
410,244,19
328,310,19
449,441,19
299,112,19
588,466,19
258,432,19
123,570,19
105,415,19
434,161,19
508,102,19
107,306,19
354,342,19
777,335,10
812,235,10
1109,260,10
921,154,10
1110,163,10
1051,458,10
1165,318,10
1043,521,10
852,110,10
781,336,10
1093,213,10
866,422,10
741,493,10
1102,212,10
1043,286,10
1021,319,10
788,270,10
916,208,10
1070,383,10
1118,306,10
1105,152,10
871,114,10
1094,561,10
722,211,10
752,114,10
728,498,10
1181,499,10
1165,215,10
706,277,10
735,276,10
771,193,10
889,589,10
923,351,10
1111,237,10
1155,265,10
1046,452,10
1027,463,10
725,196,10
1058,393,10
936,306,10
1064,120,10
848,449,10
867,112,10
772,499,10
1182,353,10
1060,564,10
913,295,10
1117,381,10
1007,555,10
895,208,10
1092,564,10
1043,170,10
818,324,10
854,213,10
902,218,10
1168,375,10
999,341,10
844,135,10
1028,517,10
1141,158,10
1163,216,10
928,276,10
854,221,10
1180,125,10
825,369,10
836,564,10
770,110,10
1096,458,10
870,498,10
768,569,10
1175,554,10
992,517,10
1043,579,10
798,268,10
725,522,10
1128,444,10
791,506,10
1136,510,10
866,559,10
888,130,10
772,270,10
736,409,10
956,530,10
949,440,10
941,276,10
1013,326,10
775,363,10
970,442,10
1052,234,10
1190,593,10
797,446,10
1121,261,10
901,361,10
990,211,10
1051,221,10
914,165,10
1155,290,10
755,252,10
761,328,10
745,593,10
799,489,10
827,578,10
848,463,10
727,582,10
975,176,10
963,170,10
1151,596,10
1095,595,10
1090,116,10
920,468,10
943,117,10
846,267,10
971,380,10
964,561,10
884,179,10
765,302,10
871,491,10
771,160,10
998,290,10
832,504,10
1186,596,10
759,343,10
866,579,10
1043,113,10
1030,501,10
803,501,10
837,370,10
807,439,10
734,193,10
821,134,10
1136,378,10
986,215,10
782,285,10
790,328,10
1200,206,10
1063,244,10
958,480,10
749,585,10
1165,350,10
810,539,10
1181,417,10
1034,434,10
824,334,10
1151,556,10
843,292,10
1128,492,10
1120,376,10
1177,303,10
810,544,10
987,257,10
1045,142,10
787,331,10
822,149,10
1026,592,10
969,345,10
1012,522,10
1012,198,10
717,462,10
1052,285,10
853,375,10
925,150,10
870,539,10
1024,235,10
982,440,10
777,194,10
756,254,10
1024,324,10
700,325,10
779,596,10
765,236,10
1065,246,10
928,405,10
935,137,10
1047,271,10
1155,301,10
723,449,10
894,360,10
958,222,10
827,455,10
1180,561,10
861,108,10
854,455,10
1158,581,10
898,493,10
877,535,10
883,411,10
899,526,10
1018,325,10
823,123,10
1018,375,10
917,516,10
856,179,10
937,521,10
1193,538,10
835,299,10
907,176,10
832,296,10
754,372,10
852,408,10
737,374,10
1140,278,10
910,191,10
1007,113,10
1174,452,10
1056,257,10
860,158,10
924,361,10
795,134,10
1099,455,10
1094,547,10
751,124,10
887,390,10
1178,484,10
1128,252,10
1183,177,10
1007,552,10
870,410,10
835,534,10
1179,512,10
949,573,10
1197,270,10
968,597,10
1053,506,10
875,445,10
939,475,10
859,237,10
810,206,10
784,427,10
844,258,10
1180,179,10
1000,576,10
1099,237,10
950,256,10
816,574,10
770,254,10
785,329,10
1039,164,10
743,190,10
963,261,10
909,305,10
791,555,10
1061,277,10
1189,173,10
856,595,10
984,427,10
1170,579,10
762,371,10
1053,290,10
926,186,10
1184,319,10
770,327,10
847,531,10
715,331,10
915,377,10
1088,340,10
972,598,10
1054,184,10
1086,556,10
1129,422,10
874,536,10
869,484,10
861,149,10
1165,584,10
1173,172,10
980,265,10
1098,172,10
746,567,10
892,461,10
840,401,10
885,249,10
800,172,10
1044,470,10
1117,161,10
952,144,10
1144,235,10
865,151,10
1176,507,10
1078,324,10
780,271,10
994,557,10
1181,579,10
1163,506,10
871,436,10
1141,516,10
955,479,10
881,362,10
1004,444,10
1025,151,10
980,342,10
908,479,10
1034,374,10
902,303,10
781,362,10
1073,524,10
769,240,10
861,541,10
825,179,10
968,448,10
950,298,10
961,188,10
999,518,10
852,321,10
1008,569,10
1115,386,10
713,127,10
854,504,10
1183,343,10
737,436,10
1170,468,10
986,194,10
895,210,10
1188,100,10
996,297,10
1024,406,10
1085,522,10
1136,251,10
992,424,10
798,394,10
741,128,10
884,327,10
746,216,10
1146,430,10
911,247,10
1036,227,10
959,458,10
862,550,10
1035,365,10
785,478,10
748,594,10
1125,235,10
826,562,10
1022,181,10
1083,391,10
1094,575,10
1076,307,10
910,359,10
1085,409,10
1189,461,10
835,303,10
985,267,10
882,422,10
997,272,10
856,467,10
952,483,10
983,117,10
1131,412,10
1041,226,10
797,125,10
961,404,10
1136,192,10
1111,262,10
1006,188,10
1139,470,10
812,553,10
1123,366,10
1189,596,10
808,144,10
714,525,10
816,522,10
1110,448,10
1062,574,10
1030,599,10
787,175,10
1062,570,10
879,540,10
1084,100,10
929,485,10
1022,283,10
978,207,10
787,275,10
1019,527,10
863,188,10
883,166,10
744,120,10
1028,249,10
859,283,10
1027,514,10
756,221,10
958,521,10
1099,181,10
785,229,10
865,593,10
888,193,10
877,350,10
1156,359,10
909,567,10
1030,328,10
803,288,10
869,434,10
1103,190,10
953,530,10
882,484,10
718,574,10
1035,512,10
882,131,10
906,221,10
837,386,10
1181,333,10
935,263,10
702,120,10
872,353,10
897,479,10
944,296,10
938,221,10
1097,477,10
738,120,10
1026,428,10
1048,366,10
